,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code
112,South San Francisco,California,39.4,34177.0,33094.0,67271,1839.0,27528.0,3.33,CA
113,Portsmouth,Virginia,33.6,45900.0,50301.0,96201,10261.0,1815.0,2.54,VA
114,Norwalk,California,35.0,53125.0,54020.0,107145,3027.0,39396.0,3.88,CA
115,Alhambra,California,41.0,42184.0,43388.0,85572,1673.0,44441.0,2.89,CA
116,Carson,California,40.4,43790.0,49506.0,93296,4273.0,33860.0,3.7,CA
118,Citrus Heights,California,37.8,41982.0,45071.0,87053,6171.0,9466.0,2.49,CA
121,Atascocita,Texas,32.8,37424.0,40816.0,78240,4416.0,8657.0,3.03,TX
123,Fresno,California,30.0,256130.0,263942.0,520072,18410.0,103453.0,3.12,CA
124,Jacksonville,Florida,35.7,419203.0,448828.0,868031,75432.0,85650.0,2.62,FL
125,High Point,North Carolina,35.5,51751.0,58077.0,109828,5204.0,16315.0,2.65,NC
126,Pearland,Texas,33.9,52336.0,59329.0,111665,5621.0,16882.0,3.0,TX
127,Brownsville,Texas,30.6,87689.0,96199.0,183888,4211.0,53301.0,3.48,TX
128,Denton,Texas,28.7,62478.0,68569.0,131047,6352.0,18451.0,2.66,TX
130,San Bernardino,California,28.5,108671.0,107466.0,216137,7741.0,55135.0,3.55,CA
131,Mesquite,Texas,34.6,69240.0,75884.0,145124,6438.0,26755.0,2.96,TX
134,Redwood City,California,37.1,42676.0,42624.0,85300,2430.0,27652.0,2.64,CA
136,Upland,California,39.7,36226.0,40221.0,76447,2898.0,16552.0,2.77,CA
137,Paterson,New Jersey,34.0,70640.0,77117.0,147757,1694.0,49810.0,3.37,NJ
138,Pasco,Washington,28.6,35298.0,32799.0,68097,2052.0,16265.0,3.45,WA
139,Lubbock,Texas,29.2,122320.0,126731.0,249051,10588.0,14226.0,2.61,TX
141,Schenectady,New York,36.7,32398.0,32901.0,65299,3388.0,10961.0,2.8200000000000003,NY
142,Worcester,Massachusetts,34.9,90951.0,93855.0,184806,9408.0,36907.0,2.43,MA
143,Cedar Park,Texas,34.4,31248.0,33589.0,64837,3090.0,5207.0,3.05,TX
144,Pembroke Pines,Florida,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94,FL
145,West Covina,California,39.8,51629.0,56860.0,108489,3800.0,37038.0,3.56,CA
147,Columbia,Maryland,37.9,52202.0,51265.0,103467,6526.0,23249.0,2.68,MD
148,Raleigh,North Carolina,32.8,219184.0,232765.0,451949,16747.0,65125.0,2.42,NC
149,Compton,California,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08,CA
151,Amarillo,Texas,33.8,99391.0,100260.0,199651,11008.0,21124.0,2.64,TX
152,Chesapeake,Virginia,36.7,114964.0,120465.0,235429,29772.0,13966.0,2.73,VA
153,Glendale,Arizona,34.4,116795.0,123319.0,240114,13241.0,44133.0,2.89,AZ
156,Fort Lauderdale,Florida,42.8,93948.0,84639.0,178587,8897.0,47582.0,2.38,FL
